nazwa;szerokość;wysokość
Brzeźno 01;53.087895;18.772619
Kąkol 19;52.9931372807005;18.4560951590538
Kąkol - Wiadukt 21;52.9940655796137;18.4474718570709
Jarki 23;52.9893593018908;18.4452080726624
Cierpice II 25;52.9878964572436;18.4525814652443
Cierpice - Nadleśnictwo 27;52.9864803893523;18.4650564193726
Cierpice - Andrewex 29;52.9859588383974;18.4721750020981
Cierpice - Pętla 31;52.9838741864033;18.4863102436066
Cierpiszewo 33;52.9796819712747;18.4998339414597
Cierpiszewo - Leśna 35;52.9824866502205;18.4986101835966
Cierpice - Szkoła 37;52.9864626276587;18.4866508841515
Cierpice - Ogrodowa 39;52.9877866611654;18.4830540418625
Cierpice - Ogrodowa II 41;52.9945951046646;18.4802001714706
Wielka Nieszawka - Wiślana 12;53.0006712627274;18.4811925888062
Wielka Nieszawka - RSP 10;52.9981724574515;18.4949362277985
Wielka Nieszawka - Urząd Gminy 08;52.9977462901789;18.5066628456116
Mała Nieszawka - Kościół 06;52.992651328443;18.5240060091019
Mała Nieszawka - Stadion 04;52.9898517494832;18.5349065065384
Mała Nieszawka - Szkoła 02;52.9898646660658;18.5492885112762
Zagrodowa 02;52.9913661924674;18.5687747597694
Kluczyki 02;52.9934230374483;18.5776287317276
Wiślana 02;52.9961513541202;18.5891354084015
Plac Armii Krajowej 06;52.9985953920256;18.6038044095039
Plac Św. Katarzyny 06;53.0143620835218;18.6131706833839
Targowisko 04;53.0182492073713;18.5998374223709
Bema 04;53.020975955334;18.5967206954956
Wybickiego 06;53.0244494858184;18.5921435058117
Żwirki i Wigury 04;53.0285841228695;18.5908895730972
Długa 02;53.0315199101022;18.5953822731972
Koniuchy 06;53.0337240387811;18.5999728739262
